Date,ES_Close,NQ_Close,ES_Daily_Return,ES_5D_Fwd_Return,ES_20D_Fwd_Return,ES_60D_Fwd_Return,ES_Realized_Vol_20D,ES_Fwd_Max_DD_60D,ES_Fwd_Max_Upside_60D,ES_Fwd_Sharpe_60D,walcl_3m_pct,liquidity_contraction,liquidity_expansion,HY_OAS,hy_oas_zscore,hy_oas_percentile,credit_regime,VIX,volatility_regime,spx_pos_percentile,Liquidity_State,Liquidity_Status,Credit_State,Credit_Status,Positioning_State,Positioning_Status,Volatility_State,Volatility_Status,Destabilization_Score,Macro_Regime
2010-01-19,1145.75,1889.75,0.011852640952910252,-0.051058258782456956,-0.040366572114335586,0.05476761946323361,,-0.0783329696705215,0.05476761946323361,1.688600675670812,,False,False,20.096564595094545,-1.85307989793842,0.52,Neutral,17.91,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-01-20,1134.0,1867.0,-0.010308239101536113,-0.03483245149911818,-0.025132275132275117,0.04960317460317465,,-0.06878306878306883,0.0656966490299824,1.508877783688787,,False,False,20.120362793325054,-1.8023386717202257,0.5249643366619116,Neutral,17.91,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-01-21,1111.0,1841.0,-0.020490694648067413,-0.028577857785778593,-0.004275427542754229,0.07605760576057596,,-0.04950495049504955,0.08775877587758774,2.416446034704986,,False,False,20.664950234762774,-1.223483520800534,0.5712250712250713,Neutral,17.91,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-01-22,1091.0,1797.75,-0.01816580380655913,-0.018790100824931266,0.015123739688359228,0.10494958753437222,,-0.03208065994500453,0.10769935838680111,3.446229374087238,,False,False,20.898870470155156,-0.9702298078483405,0.5803698435277382,Neutral,27.31,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-01-25,1092.5,1798.5,0.0013739411366744713,-0.005720823798627039,0.004347826086956497,0.09885583524027464,,-0.03340961098398165,0.10617848970251709,3.2397377581550195,,False,False,20.85251730022961,-1.0071575203285177,0.5795454545454546,Neutral,27.31,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-01-26,1087.25,1796.5,-0.004817075491997429,0.00919751667049895,0.014945964589560878,0.10531156587721324,,-0.028742239595309305,0.11151988962979997,3.461452593944076,,False,False,20.738018530697317,-1.113360119182427,0.5758865248226951,Neutral,27.31,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-01-27,1094.5,1809.0,0.006646065485169854,0.001827318410233092,0.007080858839652704,0.10758337140246699,,-0.035175879396984966,0.10758337140246699,3.519935735966652,,False,False,20.621906306626098,-1.2198385059425967,0.5679886685552408,Neutral,27.31,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-01-28,1079.25,1770.5,-0.014031282527330767,-0.016214964095436657,0.02246930738939068,0.11952744961779005,,-0.021542738012508722,0.12323372712531855,4.0212348130385545,,False,False,20.70492926024294,-1.1213063174271654,0.5714285714285714,Neutral,27.31,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-01-29,1070.5,1739.25,-0.008140526405849353,-0.010042036431574086,0.04110228865016352,0.10322279308734239,,-0.013545072396076607,0.13241475945819703,3.2550449932183794,,False,False,21.038814650167993,-0.7664109464093479,0.5918079096045198,Neutral,24.62,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-01,1086.25,1755.75,0.014605568549864372,-0.027848101265822822,0.028768699654775576,0.09551208285385493,,-0.027848101265822822,0.11599539700805517,3.077767800003037,,False,False,20.76875411912648,-1.0379219818733023,0.5768688293370945,Neutral,24.62,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-02,1097.25,1769.0,0.01007565198874164,-0.028252449305080862,0.01936659831396681,0.09842788790157209,0.15803051890846953,-0.03759398496240607,0.1048074732285258,3.1448079786762877,,False,False,20.772661759716332,-1.0271132905144136,0.5774647887323944,Neutral,24.62,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
