Macro_Regime,Observations,ES_20D_Fwd_Return,ES_Fwd_Max_DD_60D,ES_Realized_Vol_20D
A,2401,0.00843984143071631,-0.041017585484000633,0.12458772763045778
B,1462,0.006992488161481035,-0.0518201475002261,0.1579168085721443
C,267,0.04196681530755402,-0.03595635299495869,0.3075161576234375
D,6,0.0623157849599395,-0.027000235249183935,0.24685619000359912
