Macro_Regime,A,B,C,D
A,0.9745939192003332,0.024989587671803416,0.00041649312786339027,0.0
B,0.041723666210670314,0.9350205198358413,0.023255813953488372,0.0
C,0.0,0.12734082397003746,0.8614232209737828,0.011235955056179775
D,0.0,0.16666666666666666,0.3333333333333333,0.5
